time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.53, 0.379581 0.0358653   0.53792,-1.5479 1.40165 11.6221, 0.547601  0.198061 0.0662233, 0.877869 -0.101769 0.0272859,-0.124715  0.151349 0.0818301, 0.219192 -0.272803 0.0485017,0 0 0,0 0 0,0 0 0,0 0 0
0.54, 0.397647 0.0326991  0.535467,-1.03838  1.08876  11.5679, 0.574261  0.199096 0.0722855, 0.890718 -0.099661 0.0209184,-0.097068  0.146386 0.0893209, 0.232551 -0.274781 0.0371832,0 0 0,0 0 0,0 0 0,0 0 0
0.55, 0.415712 0.0295328  0.532034,-0.528601  0.776096   11.5123, 0.601452  0.200152 0.0777946,  0.901994 -0.0978112  0.0151319,-0.0688705   0.141323  0.0961282, 0.244274 -0.276517 0.0268976,0 0 0,0 0 0,0 0 0,0 0 0
0.56, 0.433778 0.0263666  0.527619,-0.0185518   0.463668    11.4552, 0.628975   0.20122 0.0826121,  0.911551 -0.0962435  0.0100718,-0.0403287   0.136199   0.102081,  0.25421 -0.277989  0.017903,0 0 0,0 0 0,0 0 0,0 0 0
0.57, 0.451843 0.0232003  0.522225,0.491782 0.151481  11.3968, 0.656631  0.202294 0.0865997,  0.919241 -0.0949821 0.00588329,-0.0116493    0.13105   0.107009, 0.262205 -0.279172 0.0104578,0 0 0,0 0 0,0 0 0,0 0 0
0.58, 0.469909 0.0200341  0.515849,  1.00242 -0.160458    11.337, 0.684221  0.203365 0.0896193,  0.924916 -0.0940511 0.00271164,0.0169614  0.125914   0.11074,  0.268105  -0.280046 0.00482004,0 0 0,0 0 0,0 0 0,0 0 0
0.59, 0.487974 0.0168678  0.508493, 1.51337 -0.47214  11.2758, 0.711544  0.204426 0.0915325,    0.92843  -0.0934748 0.000702121,0.0452965  0.120827  0.113104,  0.271758  -0.280587 0.00124805,0 0 0,0 0 0,0 0 0,0 0 0
0.6,  0.50604 0.0137015  0.500156,  2.02465 -0.783559   11.2132,0.738403 0.205469 0.092201,   0.929633  -0.0932774 1.39333e-13,0.0731497  0.115826   0.11393,    0.273009    -0.280772 -2.83662e-14,0 0 0,0 0 0,0 0 0,0 0 0
0.61, 0.524073 0.0105402  0.490883,2.53394 -1.0943 11.1501, 0.765262  0.206512 0.0922268,  0.929633 -0.0932774 1.3928e-13,0.101003 0.110826 0.113104,    0.273009    -0.280772 -2.82781e-14,0 0 0, 23.4126 -14.7153  50.6217,0 0 0,1.71762 6.77363 123.706
0.62,  0.541912 0.00740871   0.480899, 3.02955 -1.40229  11.0914, 0.792586  0.207573 0.0923007,  0.929633 -0.0932774 1.3928e-13,0.129338 0.105738  0.11074,    0.273009    -0.280772 -2.82781e-14,0 0 0, 76.1903 -48.4508  179.801,0 0 0,4.42551 22.1483 421.664
0.63,  0.559362 0.00433669   0.470474, 3.49743 -1.70505  11.0429, 0.820176  0.208644 0.0924175,  0.929633 -0.0932774 1.3928e-13,0.157949 0.100602 0.107009,    0.273009    -0.280772 -2.82781e-14,0 0 0, 132.143 -85.5914  353.507,0 0 0,4.45627 38.7047 784.132
0.64,  0.576229 0.00135394   0.459875, 3.92357 -2.00012  11.0104, 0.847832  0.209718 0.0925716,  0.929633 -0.0932774 1.3928e-13,0.186628 0.095453 0.102081,    0.273009    -0.280772 -2.82781e-14,0 0 0, 165.079 -110.522   537.71,0 0 0,-1.85753  49.0235  1101.37
0.65,   0.592319 -0.00150977    0.449374, 4.29391 -2.28501  10.9996, 0.875355  0.210787 0.0927578,  0.929633 -0.0932774 1.3928e-13,  0.21517 0.0903288 0.0961282,    0.273009    -0.280772 -2.82781e-14,0 0 0,  148.81 -107.626  698.382,0 0 0,-18.1833  45.6855  1263.64
0.66,   0.607438 -0.00422469    0.439239, 4.59445 -2.55725  11.0165, 0.902546  0.211842 0.0929707,  0.929633 -0.0932774 1.3928e-13, 0.243367 0.0852665 0.0893209,    0.273009    -0.280772 -2.82781e-14,0 0 0,  57.144 -61.2901  801.491,0 0 0,-48.1885  21.2712  1161.19
0.67,    0.62139 -0.00676106    0.429739, 4.81112 -2.81436  11.0667, 0.929205  0.212878 0.0932051,  0.929633 -0.0932774 1.3928e-13, 0.271014  0.080303 0.0818301,    0.273009    -0.280772 -2.82781e-14,0 0 0,-125.806  38.2117  819.662,0 0 0,-93.5776 -28.7671  718.927
0.68,   0.633983 -0.00908913    0.421145, 4.92992 -3.05386  11.1561, 0.955135  0.213884 0.0934554,  0.929633 -0.0932774 1.3928e-13, 0.297903 0.0754755 0.0738265,    0.273009    -0.280772 -2.82781e-14,0 0 0,-284.535  125.289  815.434,0 0 0,-131.413 -72.3205  309.874
0.69,  0.645021 -0.0111791   0.413724,  4.9368 -3.27328  11.2904, 0.980135  0.214855 0.0937165,  0.929633 -0.0932774 1.3928e-13, 0.323828 0.0708211 0.0654811,    0.273009    -0.280772 -2.82781e-14,0 0 0,-379.772  177.535  812.897,0 0 0,-154.114 -98.4525  64.4417
0.7,   0.65431 -0.0130013   0.407748, 4.81773 -3.47014  11.4755,  1.00401  0.215782 0.0939829,  0.929633 -0.0932774 1.3928e-13, 0.348583 0.0663768 0.0569649,    0.273009    -0.280772 -2.82781e-14,0 0 0,-411.518   194.95  812.051,0 0 0,-161.681 -107.163 -17.3689
0.71,  0.661722 -0.0145358   0.403395, 4.56334 -3.64273  11.7153,  1.02655  0.216657 0.0942493,  0.929633 -0.0932774 1.3928e-13,  0.37196 0.0621798 0.0484486,    0.273009    -0.280772 -2.82781e-14,0 0 0,-379.772  177.535  812.897,0 0 0,-154.114 -98.4525  64.4417
0.72,  0.667384 -0.0158025   0.400486, 4.18293 -3.79243   12.006,  1.04756  0.217473 0.0945103,  0.929633 -0.0932774 1.3928e-13, 0.393754 0.0582672 0.0401033,    0.273009    -0.280772 -2.82781e-14,0 0 0,-284.535  125.289  815.434,0 0 0,-131.413 -72.3205  309.874
0.73,  0.671492 -0.0168311   0.398751, 3.69046 -3.92137  12.3421,  1.06685  0.218222 0.0947607,  0.929633 -0.0932774 1.3928e-13, 0.413757 0.0546759 0.0320997,    0.273009    -0.280772 -2.82781e-14,0 0 0,-125.806  38.2117  819.662,0 0 0,-93.5776 -28.7671  718.927
0.74,   0.67424 -0.0176514   0.397921,  3.0999 -4.03168  12.7178, 1.08422 0.218896 0.094995,  0.929633 -0.0932774 1.3928e-13, 0.431764 0.0514432 0.0246088,    0.273009    -0.280772 -2.82781e-14,0 0 0,  57.144 -61.2901  801.491,0 0 0,-48.1885  21.2712  1161.19
0.75,  0.675822 -0.0182932   0.397727, 2.42522 -4.12551  13.1277,  1.09946  0.219488 0.0952079,  0.929633 -0.0932774 1.3928e-13, 0.447567  0.048606 0.0178015,    0.273009    -0.280772 -2.82781e-14,0 0 0,  148.81 -107.626  698.382,0 0 0,-18.1833  45.6855  1263.64
0.76,  0.676432 -0.0187861   0.397899, 1.68037 -4.20499   13.566,  1.11237   0.21999 0.0953941,  0.929633 -0.0932774 1.3928e-13,  0.46096 0.0462015 0.0118487,    0.273009    -0.280772 -2.82781e-14,0 0 0, 165.079 -110.522   537.71,0 0 0,-1.85753  49.0235  1101.37
0.77,0.676265 -0.01916 0.398168,0.879328 -4.27226  14.0272,  1.12276  0.220393 0.0955483,  0.929633 -0.0932774 1.3928e-13,  0.471736  0.0442668 0.00692123,    0.273009    -0.280772 -2.82781e-14,0 0 0, 132.143 -85.5914  353.507,0 0 0,4.45627 38.7047 784.132
0.78,  0.675516 -0.0194447   0.398265,0.0360476  -4.32946   14.5056, 1.13043 0.220691 0.095665,  0.929633 -0.0932774 1.3928e-13,  0.479689   0.042839 0.00319003,    0.273009    -0.280772 -2.82781e-14,0 0 0, 76.1903 -48.4508  179.801,0 0 0,4.42551 22.1483 421.664
0.79,  0.674377 -0.0196698    0.39792,-0.835504  -4.37872   14.9957,  1.13518  0.220875 0.0957389,  0.929633 -0.0932774 1.3928e-13,   0.484612   0.0419551 0.000825991,    0.273009    -0.280772 -2.82781e-14,0 0 0, 23.4126 -14.7153  50.6217,0 0 0,1.71762 6.77363 123.706
0.8,  0.673045 -0.0198652   0.396863,-1.72136 -4.42219  15.4917,  1.13681  0.220938 0.0957648,  0.929633 -0.0932774 1.3928e-13,   0.486299   0.0416522 5.75651e-14,    0.273009    -0.280772 -2.82781e-14,0 0 0,2.27374e-13           0 2.27374e-13,0 0 0, 2.84217e-14 -5.68434e-14            0
0.81,  0.671712 -0.0200642   0.394934,-2.60775 -4.46296  15.9877,  1.13681  0.220938 0.0957648,  0.931374 -0.0937023 0.00194175,   0.486299   0.0416522 5.75144e-14,   0.274927   -0.280953 0.000891457,-94.5211 -13.8159  99.4088,0 0 0,-2.07837  18.3933  33.9452,0 0 0
0.82,  0.670571 -0.0203148   0.392407,-3.48167 -4.50804   16.476,  1.13681  0.220938 0.0957648,  0.936455 -0.0949425 0.00749919,   0.486299   0.0416522 5.75144e-14,  0.280524  -0.281479 0.00344287,-318.625 -46.3293  339.833,0 0 0,-5.75277  60.5909  124.856,0 0 0
0.83,  0.669813 -0.0206685   0.389662,-4.33031 -4.56538  16.9482,  1.13681  0.220938 0.0957648,  0.944662 -0.0969459  0.0162706,   0.486299   0.0416522 5.75144e-14, 0.289565 -0.282329 0.0074698,-583.121 -84.1388  634.571,0 0 0,-7.18218   107.12  256.343,0 0 0
0.84,  0.669631 -0.0211769   0.387083,-5.14084 -4.64294  17.3963,  1.13681  0.220938 0.0957648,  0.955782 -0.0996604  0.0278541,   0.486299   0.0416522 5.75144e-14, 0.301815 -0.283482 0.0127878,-798.821 -113.843  896.918,0 0 0,-2.52554  138.506  412.019,0 0 0
