time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.65,0.329067 0.034339 0.416063,   7.6167 -0.350438   5.62241,0.684995 0.316941 0.108415,   0.709961  -0.0636404 1.26938e-13,0.0135451  0.251504  0.106087,  0.0226336   -0.144194 1.94575e-13,0 0 0,1.55318 132.504 424.197,0 0 0,-11.3723  125.644  411.864
0.66,0.336997  0.03467 0.402807,  8.06353 -0.368932   5.71828,0.702518 0.323388 0.100738,   0.709961  -0.0636404 1.26938e-13,0.0315019  0.254627 0.0985747,  0.0226336   -0.144194 1.94575e-13,0 0 0, 1.7808 152.683 488.771,0 0 0,-13.1188  144.783  474.526
0.67, 0.344904 0.0356241  0.390588,  8.38811 -0.378932   5.81435, 0.719698   0.32971 0.0922893,   0.709961  -0.0636404 1.26938e-13,0.0491079   0.25769 0.0903077,  0.0226336   -0.144194 1.94575e-13,0 0 0,1.81844 157.143 503.006,0 0 0,-13.5257  149.021  488.291
0.68, 0.352783 0.0373051   0.37974,  8.57008 -0.378931   5.91072, 0.736408  0.335858 0.0832628,   0.709961  -0.0636404 1.26938e-13,0.0662316  0.260669  0.081475,  0.0226336   -0.144194 1.94575e-13,0 0 0,1.80669 157.197 503.139,0 0 0,-13.5506  149.078  488.373
0.69,0.360629 0.039817 0.370602,  8.58905 -0.367423   6.00746, 0.752518  0.341786 0.0738507,   0.709961  -0.0636404 1.26938e-13,0.0827413  0.263541  0.072265,  0.0226336   -0.144194 1.94575e-13,0 0 0,1.79963 157.229 503.219,0 0 0,-13.5655  149.113  488.422
0.7,  0.36844 0.0432635  0.363508,  8.42467 -0.342904   6.10463,0.767901 0.347446 0.064246,   0.709961  -0.0636404 1.26938e-13,0.0985056  0.266283 0.0628665,  0.0226336   -0.144194 1.94575e-13,0 0 0,1.79728 157.239 503.245,0 0 0,-13.5705  149.124  488.438
0.71,0.376212 0.047714 0.358683,  8.06337 -0.304344   6.20229, 0.782428  0.352791 0.0546412,   0.709961  -0.0636404 1.26938e-13,0.113393 0.268873 0.053468,  0.0226336   -0.144194 1.94575e-13,0 0 0,1.79963 157.229 503.219,0 0 0,-13.5655  149.113  488.422
0.72, 0.383949 0.0530991  0.355903,  7.51873 -0.252616    6.3003, 0.795971  0.357775 0.0452292,   0.709961  -0.0636404 1.26938e-13,0.127272 0.271288 0.044258,  0.0226336   -0.144194 1.94575e-13,0 0 0,1.80669 157.197 503.139,0 0 0,-13.5506  149.078  488.373
0.73,0.391653 0.059315 0.354832,  6.81116 -0.189069   6.39847, 0.808402  0.362348 0.0362026,   0.709961  -0.0636404 1.26938e-13,  0.14001  0.273504 0.0354253,  0.0226336   -0.144194 1.94575e-13,0 0 0,1.81844 157.143 503.006,0 0 0,-13.5257  149.021  488.291
0.74,  0.39933 0.0662579  0.355133,  5.96103 -0.115052   6.49665, 0.819592  0.366466 0.0277543,   0.709961  -0.0636404 1.26938e-13, 0.151477  0.275499 0.0271583,  0.0226336   -0.144194 1.94575e-13,0 0 0, 1.7808 152.683 488.771,0 0 0,-13.1188  144.783  474.526
0.75, 0.406982 0.0738239  0.356471,  4.98873 -0.031916   6.59466, 0.829412  0.370079 0.0200769,   0.709961  -0.0636404 1.26938e-13, 0.161541  0.277249 0.0196458,  0.0226336   -0.144194 1.94575e-13,0 0 0,1.55318 132.504 424.197,0 0 0,-11.3723  125.644  411.864
0.76, 0.414615 0.0819091  0.358508,  3.91466 0.0589911   6.69231, 0.837735  0.373141 0.0133632,   0.709961  -0.0636404 1.26938e-13,  0.17007  0.278733 0.0130762,  0.0226336   -0.144194 1.94575e-13,0 0 0, 1.1966 101.746 325.741,0 0 0,-8.72599  96.4763  316.286
0.77, 0.422231 0.0904098   0.36091, 2.7592 0.15632 6.78945,  0.844431   0.375605 0.00780589,   0.709961  -0.0636404 1.26938e-13,  0.176932   0.279927 0.00763828,  0.0226336   -0.144194 1.94575e-13,0 0 0,0.787034   66.763  213.748,0 0 0,-5.72269   63.304   207.55
0.78,0.429836 0.099222 0.363339,1.54274 0.25872 6.88589,  0.849373   0.377424 0.00359777,   0.709961  -0.0636404 1.26938e-13,  0.181997   0.280808 0.00352052,  0.0226336   -0.144194 1.94575e-13,0 0 0,0.400435  33.9083  108.563,0 0 0,-2.90534  32.1511  105.418
0.79,0.437433 0.108242 0.365461,0.285661 0.364844  6.98146,   0.852433     0.37855 0.000931567,   0.709961  -0.0636404 1.26938e-13,   0.185132    0.281353 0.000911564,  0.0226336   -0.144194 1.94575e-13,0 0 0,0.112769  9.53605  30.5316,0 0 0,-0.816817   9.04178   29.6477
0.8,0.445025 0.117366 0.366937,-0.991639  0.473341     7.076,    0.853481     0.378935 -1.16906e-13,   0.709961  -0.0636404 1.26938e-13,   0.186207     0.28154 1.50158e-13,  0.0226336   -0.144194 1.94575e-13,0 0 0,          0           0 2.27374e-13,0 0 0,-3.55271e-15 -5.68434e-14  1.13687e-13
0.81,0.452616 0.126493  0.36754,-2.26898 0.582311  7.16915,    0.853481     0.378935 -1.16939e-13,   0.710907  -0.0631597 0.000957146,   0.186207     0.28154 1.50037e-13,  0.0238062    -0.14363 0.000984123,-0.0575892   -7.99544    29.3244,0 0 0,-1.59528 -6.66416  25.4975,0 0 0
0.82,0.460197 0.135539 0.367469,-3.52701 0.687644  7.25992,    0.853481     0.378935 -1.16939e-13,  0.713666 -0.0617568 0.00369656,   0.186207     0.28154 1.50037e-13,  0.027228  -0.141984 0.00380075,-0.205075   -28.431   104.269,0 0 0,-5.67418 -23.6955  90.6592,0 0 0
0.83,0.467759  0.14442 0.367029,-4.74658 0.784683  7.34713,    0.853481     0.378935 -1.16939e-13,  0.718125 -0.0594906 0.00802022,   0.186207     0.28154 1.50037e-13, 0.0327555  -0.139326 0.00824627,-0.404536  -55.9806   205.293,0 0 0,-11.1763 -46.6522  178.489,0 0 0
0.84,0.475294 0.153056 0.366527,-5.90853 0.868765  7.42963,    0.853481     0.378935 -1.16939e-13,  0.724166 -0.0564201  0.0137301,   0.186207     0.28154 1.50037e-13,0.0402452 -0.135724 0.0141171,-0.61805 -85.3181  312.852,0 0 0,-17.0412 -71.0926  271.989,0 0 0
0.85,0.482791 0.161364 0.366268,-6.99372 0.935231  7.50624,    0.853481     0.378935 -1.16939e-13,  0.731673 -0.0526039  0.0206281,   0.186207     0.28154 1.50037e-13,0.0495535 -0.131248 0.0212095,-0.807694  -111.117   407.405,0 0 0,-22.2085  -92.575  354.165,0 0 0
0.86,0.490242 0.169263  0.36656,-7.98299 0.979422  7.57579,    0.853481     0.378935 -1.16939e-13, 0.740532 -0.048101 0.0285163,   0.186207     0.28154 1.50037e-13,0.0605368 -0.125966 0.0293201,-0.935546  -128.052   469.409,0 0 0,-25.6179 -106.658  408.019,0 0 0
0.87,0.497637 0.176669 0.367708, -8.8572 0.996677  7.63711,    0.853481     0.378935 -1.16939e-13,  0.750626 -0.0429702  0.0371967,   0.186207     0.28154 1.50037e-13,0.0730516 -0.119947  0.038245,-0.970706  -131.814   483.058,0 0 0,-26.4101 -109.748  419.806,0 0 0
0.88,0.504967 0.183503 0.370018, -9.5972 0.982335  7.68904,    0.853481     0.378935 -1.16939e-13,  0.761839 -0.0372705  0.0464711,   0.186207     0.28154 1.50037e-13,0.0869542 -0.113261 0.0477809,-0.977765  -131.876   483.168,0 0 0,-26.4568 -109.764  419.835,0 0 0
0.89,0.512222 0.189681 0.373797,-10.1838 0.931738  7.73041,    0.853481     0.378935 -1.16939e-13,  0.774056 -0.0310606  0.0561416,   0.186207     0.28154 1.50037e-13, 0.102101 -0.105977 0.0577239,-0.982001  -131.914   483.233,0 0 0,-26.4849 -109.773  419.853,0 0 0
0.9,0.519393 0.195121  0.37935,-10.5979 0.840224  7.76005,    0.853481     0.378935 -1.16939e-13,  0.787161 -0.0243995  0.0660101,   0.186207     0.28154 1.50037e-13,  0.118349 -0.0981636  0.0678705,-0.983412  -131.926   483.255,0 0 0,-26.4942 -109.776  419.858,0 0 0
0.91,0.526474 0.199769 0.386882,-10.8268 0.704675  7.77716,    0.853481     0.378935 -1.16939e-13, 0.801038 -0.017346 0.0758786,   0.186207     0.28154 1.50037e-13,  0.135554 -0.0898896  0.0780172,-0.982001  -131.914   483.233,0 0 0,-26.4849 -109.773  419.853,0 0 0
0.92,0.533472  0.20368 0.396189,-10.8831 0.528132  7.78248,    0.853481     0.378935 -1.16939e-13,   0.815571 -0.00995888    0.085549,   0.186207     0.28154 1.50037e-13,  0.153572 -0.0812244  0.0879602,-0.977765  -131.876   483.168,0 0 0,-26.4568 -109.764  419.835,0 0 0
0.93,0.540395 0.206936 0.406964, -10.786 0.315177  7.77709,    0.853481     0.378935 -1.16939e-13,  0.830644 -0.0022971  0.0948234,   0.186207     0.28154 1.50037e-13,  0.17226 -0.072237  0.097496,-0.970706  -131.814   483.058,0 0 0,-26.4101 -109.748  419.806,0 0 0
