time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.31,0.0870626 0.0707832  0.430465,-7.91407  3.52837  5.36033,0.34 0.19    0, 0.435967 -0.155784 0.0836828,-0.34  0.19     0,-0.224873 -0.215533 0.0919542, 85.9644 -73.8721  352.279,0 0 0, 77.8755 -87.3815  322.007,0 0 0
0.32,0.0943133 0.0694246  0.438314,-7.68011  3.51686  5.97147,0.34 0.19    0, 0.451357 -0.150281 0.0943479,-0.34  0.19     0,-0.206366 -0.219617  0.103673, 78.6353 -67.3937  318.443,0 0 0, 71.6631 -77.2606  288.687,0 0 0
0.33, 0.102026 0.0675988  0.447126,-7.39831  3.44529  6.58367,0.34 0.19    0,0.467344 -0.14456 0.104576,-0.34  0.19     0, -0.18713 -0.223855  0.114913, 68.4071 -58.5086  274.509,0 0 0, 62.6242 -65.4448  247.258,0 0 0
0.34,0.110142 0.065364 0.456659,-7.07501  3.32089  7.19663,0.34 0.19    0, 0.483808 -0.138663  0.114149,-0.34  0.19     0,-0.167304 -0.228216  0.125432, 56.2842 -48.0628  224.236,0 0 0, 51.7087 -52.7047  200.932,0 0 0
0.35, 0.118605 0.0627786  0.466669,-6.71655  3.15089  7.81007,0.34 0.19    0,  0.50063 -0.132631  0.122849,-0.34  0.19     0, -0.14703 -0.232667  0.134992,  43.271 -36.9026  171.383,0 0 0, 39.8666 -39.8108  152.919,0 0 0
0.36, 0.127357 0.0599009  0.476914,-6.32929  2.94252  8.42368,0.34 0.19    0, 0.517692 -0.126506  0.130456,-0.34  0.19     0,-0.126448 -0.237176  0.143351,30.3716 -25.874  119.71,0 0 0, 28.0475 -27.5335  106.434,0 0 0
0.37, 0.136339 0.0567892  0.487152,-5.91956    2.703  9.03719,0.34 0.19    0,0.534875 -0.12033 0.136754,-0.34  0.19     0,-0.105698 -0.241712  0.150271, 18.5905 -15.8234  72.9758,0 0 0, 17.2015 -16.6433  64.6872,0 0 0
0.38,0.145496 0.053502  0.49714,-5.49369  2.43958   9.6503,0.34 0.19    0,  0.55206 -0.114144  0.141522,-0.34  0.19     0,-0.0849217  -0.246242    0.15551,   8.932 -7.59671  34.9399,0 0 0, 8.27836 -7.91067  30.8913,0 0 0
0.39, 0.154768 0.0500975  0.506635,-5.05804  2.15947  10.2627,0.34 0.19    0,0.569128 -0.10799 0.144543,-0.34  0.19     0,-0.0642597  -0.250734    0.15883,2.40039 -2.0402 9.36151,0 0 0,  2.2279 -2.10608  8.25816,0 0 0
0.4,0.164099 0.046634 0.515394,-4.61895  1.86991  10.8742,0.34 0.19    0,  0.58596 -0.101911  0.145599,-0.34  0.19     0,-0.0438527  -0.255156    0.15999,           0   1.7053e-13 -4.54747e-13,0 0 0,           0  5.68434e-14 -2.27374e-13,0 0 0
0.41, 0.173441 0.0431601  0.523217,-4.1817 1.57693 11.4844,  0.340962    0.19051 0.00104948,  0.602857 -0.0957971   0.144582, -0.338684   0.189561 0.00060497,-0.0233357  -0.259586   0.158796,0 0 0,0 0 0,0 0 0,0 0 0
0.42, 0.182783 0.0396853  0.530062,-3.74735  1.28177  12.0934,  0.343768   0.191999 0.00405316,  0.620107 -0.0895459   0.141673, -0.334845    0.18828 0.00233644,-0.00235886     -0.2641     0.15538,0 0 0,0 0 0,0 0 0,0 0 0
0.43, 0.192126 0.0362095  0.535931,-3.31593  0.98446  12.7012, 0.348299  0.194403 0.0087939,   0.63758 -0.0832058   0.137081, -0.328642   0.186214 0.00506923,0.0189143 -0.268664  0.149989,0 0 0,0 0 0,0 0 0,0 0 0
0.44,  0.20147 0.0327329  0.540823,-2.88744 0.685045  13.3079, 0.354437  0.197657 0.0150546,  0.655143 -0.0768259   0.131018,-0.320237  0.183417 0.0086782,0.0403203 -0.273244  0.142869,0 0 0,0 0 0,0 0 0,0 0 0
0.45, 0.210815 0.0292554  0.544739,-2.46189 0.383555  13.9134, 0.362062  0.201698 0.0226181,  0.672664 -0.0704547   0.123692,-0.309789  0.179947 0.0130382,0.0616957 -0.277808  0.134267,0 0 0,0 0 0,0 0 0,0 0 0
0.46, 0.22016 0.025777 0.547677, -2.0393 0.080028  14.5177, 0.371056  0.206463 0.0312672,  0.690012 -0.0641411   0.115315,-0.297461  0.175858 0.0180239,0.0828769 -0.282321  0.124431,0 0 0,0 0 0,0 0 0,0 0 0
0.47, 0.229507 0.0222978   0.54964, -1.61967 -0.225502    15.121, 0.381298  0.211886 0.0407849,  0.707054 -0.0579338   0.106097,-0.283412  0.171206 0.0235104,   0.1037 -0.286749  0.113606,0 0 0,0 0 0,0 0 0,0 0 0
0.48, 0.238853 0.0188178  0.550626,-1.20303   -0.533  15.7232,0.392671 0.217906 0.050954,  0.723657 -0.0518817  0.0962475,-0.267803  0.166047 0.0293724,0.124003 -0.29106 0.102041,0 0 0,0 0 0,0 0 0,0 0 0
0.49,  0.2482 0.015337 0.550635,-0.789376 -0.842429   16.3243, 0.405055  0.224457 0.0615573,  0.739691 -0.0460334  0.0859777,-0.250796  0.160437 0.0354846, 0.143621 -0.295219 0.0899824,0 0 0,0 0 0,0 0 0,0 0 0
0.5, 0.257548 0.0118554  0.549668,-0.378729  -1.15375   16.9245, 0.418332  0.231476 0.0723778,  0.755024 -0.0404378  0.0754976, -0.23255  0.154432 0.0417221,  0.16239 -0.299193 0.0776765,0 0 0,0 0 0,0 0 0,0 0 0
0.51,  0.266896 0.00837283   0.547726,0.0289027  -1.46694   17.5236, 0.432381  0.238898 0.0831983,  0.769522 -0.0351437  0.0650175,-0.213226  0.148086 0.0479595, 0.180148 -0.302949 0.0653706,0 0 0,0 0 0,0 0 0,0 0 0
0.52,  0.276245 0.00488911    0.54481,0.433506 -1.78193  18.1218, 0.447085  0.246662 0.0938016,  0.783055 -0.0301997  0.0547477,-0.192986  0.141457 0.0540718, 0.196731 -0.306451 0.0533117,0 0 0,0 0 0,0 0 0,0 0 0
