time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0,   0    0 0.42,0 0 0,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-14.4452  4.76092  299.238,-196.473  56.6917  594.588, 12.206 11.0123 249.039,-24.7683  36.6978  299.928
0.31,0.0393787  0.121475  0.401352,-13.3685  4.25318  8.20063,0.34 0.19    0, 0.424868 -0.155502 0.0562872,-0.34  0.19     0,-0.252601 -0.135687 0.0785464, 147.291 -136.927  281.867,0 0 0,196.111  51.585 489.545,0 0 0
0.32,0.0481461  0.122882  0.408648,-12.9066   4.4271  8.15714,0.34 0.19    0, 0.438722 -0.150066 0.0634608,-0.34  0.19     0,-0.238557 -0.126521 0.0885569, 141.412 -130.051  262.651,0 0 0,183.493 49.1554 454.186,0 0 0
0.33,0.0578381   0.12406  0.417088,-12.3478  4.50969  7.92556,0.34 0.19    0, 0.453189  -0.14445 0.0703406,-0.34  0.19     0, -0.22396 -0.116858 0.0981574, 127.435 -116.308  231.672,0 0 0,162.338 44.0634 399.328,0 0 0
0.34,0.0683393   0.12504  0.426407,-11.7038  4.51313  7.52924,0.34 0.19    0, 0.468173   -0.1387 0.0767798,-0.34  0.19     0,-0.208918 -0.106748  0.107143, 107.707 -97.7481  192.674,0 0 0,135.323 37.0964 331.288,0 0 0
0.35,0.0795345  0.125849   0.43634,-10.9864  4.44959  6.99149,0.34 0.19    0, 0.483579 -0.132863 0.0826313,-0.34  0.19     0, -0.193538 -0.0962389   0.115309, 84.5757 -76.4204  149.404,0 0 0,105.123 29.0414 256.384,0 0 0
0.36,0.0913081  0.126516  0.446619,-10.2072  4.33124  6.33565,0.34 0.19    0, 0.499313 -0.126986 0.0877483,-0.34  0.19     0, -0.177926 -0.0853783   0.122449, 60.3869 -54.3745  105.603,0 0 0,74.4138 20.6857 180.932,0 0 0
0.37,0.103545  0.12707  0.45698,-9.37801  4.17024  5.58506,0.34 0.19    0, 0.515279 -0.121114 0.0919839,-0.34  0.19     0, -0.162189 -0.0742147    0.12836, 37.488  -33.66 65.0186,0 0 0,45.8713 12.8165  111.25,0 0 0
0.38, 0.11613 0.127539 0.467156,-8.51057  3.97877  4.76304,0.34 0.19    0, 0.531383 -0.115297 0.0951912,-0.34  0.19     0, -0.146435 -0.0627964   0.132835,  18.226 -16.3264  31.3935,0 0 0, 22.171 6.22103 53.6561,0 0 0
0.39,0.128947 0.127952 0.476881,-7.6166 3.76899 3.89292,0.34 0.19    0, 0.547529 -0.109578 0.0972233,-0.34  0.19     0, -0.130771 -0.0511716   0.135671, 4.94765 -4.42318  8.47244,0 0 0,5.98871 1.68646 14.4669,0 0 0
0.4,0.141881 0.128337 0.485891,-6.70782  3.55308  2.99803,0.34 0.19    0, 0.563624 -0.104007 0.0979334,-0.34  0.19     0, -0.115304 -0.0393885   0.136662,          0 2.27374e-13           0,0 0 0,           0 -5.68434e-14 -4.54747e-13,0 0 0
0.41,0.154837 0.128719 0.493962,-5.79401  3.34117  2.09782,  0.341587   0.190513 0.00107736,  0.579964 -0.0984892  0.0971844,  -0.338135    0.191103 0.000968813,-0.0997601 -0.0272134   0.135555,0 0 0,0 0 0,0 0 0,0 0 0
