time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.31,0.0265908  0.086018  0.399282,-13.2156  4.98645  6.28816,0.34 0.19    0, 0.420541 -0.198776 0.0728238,-0.34  0.19     0,-0.254284 -0.165114 0.0931477, 195.227 -120.813  252.306,0 0 0, 236.133 -26.3988  568.654,0 0 0
0.32,0.0340013 0.0847221  0.406849,-13.0724  5.13132  6.34948,0.34 0.19    0, 0.433392 -0.200176  0.082105,-0.34  0.19     0,-0.240606 -0.161143  0.105019, 183.814 -109.507  214.254,0 0 0, 219.072 -20.8143  509.619,0 0 0
0.33, 0.042593 0.0829926  0.415866,-12.7907  5.16752  6.24759,0.34 0.19    0, 0.446722 -0.201629  0.091006,-0.34  0.19     0, -0.22642 -0.157024  0.116404, 163.364 -94.5988  175.446,0 0 0, 192.609 -15.9023  436.353,0 0 0
0.34,0.0522183 0.0808839  0.426027,-12.3872  5.10911  6.00268,0.34 0.19    0, 0.460427 -0.203122 0.0993369,-0.34  0.19     0,-0.211834  -0.15279   0.12706,  136.65 -77.4045  137.281,0 0 0, 159.789 -11.6586  354.512,0 0 0
0.35,0.0627295   0.07845  0.437031,-11.8789  4.97016  5.63491,0.34 0.19    0, 0.474405 -0.204645  0.106908,-0.34  0.19     0,-0.196958  -0.14847  0.136744, 106.443 -59.2416  101.155,0 0 0, 123.659 -8.07908  269.748,0 0 0
0.36, 0.073979 0.0757452  0.448572,-11.2826  4.76475  5.16446,0.34 0.19    0, 0.488554 -0.206187  0.113528,-0.34  0.19     0,  -0.1819 -0.144099  0.145212, 75.5135 -41.4272  68.4642,0 0 0, 87.2663 -5.15962  187.717,0 0 0
0.37,0.0858191 0.0728237  0.460348,-10.6152  4.50695   4.6115,0.34 0.19    0, 0.502771 -0.207736  0.119008,-0.34  0.19     0,-0.166769 -0.139706  0.152221, 46.6332 -25.2786  40.6065,0 0 0,53.6574 -2.8961 114.072,0 0 0
0.38,0.0981022 0.0697395  0.472054,-9.89354  4.21083  3.99621,0.34 0.19    0, 0.516954 -0.209281  0.123157,-0.34  0.19     0,-0.151675 -0.135323  0.157529, 22.5734 -12.1131  18.9786,0 0 0, 25.8789 -1.28441  54.4683,0 0 0
0.39,0.110681 0.066547 0.483387,-9.13453  3.89046  3.33875,0.34 0.19    0, 0.531001 -0.210812  0.125787,-0.34  0.19     0,-0.136726 -0.130983  0.160892, 6.10522 -3.24781  4.97749,0 0 0,   6.9775 -0.320415   14.5595,0 0 0
0.4, 0.123407 0.0633003  0.494043,-8.35501  3.55991  2.65931,0.34 0.19    0, 0.544808 -0.212316  0.126705,-0.34  0.19     0,-0.122031 -0.126717  0.162067,-2.27374e-13            0            0,0 0 0,-6.82121e-13 -8.43769e-15            0,0 0 0
0.41, 0.136157 0.0600446  0.503769,-7.56905  3.23093  1.97469,   0.341563    0.189884 0.000873792, 0.558615 -0.213821  0.125787, -0.338319   0.190288 0.00101148,-0.107337 -0.122451  0.160892,0 0 0,0 0 0,0 0 0,0 0 0
0.42, 0.148908 0.0567888  0.512515,-6.7795  2.9059 1.28823,  0.346125   0.189544 0.00337464, 0.572662 -0.215351  0.123157, -0.333413   0.191128 0.00390642,-0.0923877   -0.11811   0.157529,0 0 0,0 0 0,0 0 0,0 0 0
0.43, 0.161658 0.0535331   0.52028,-5.98638  2.58488 0.599912,  0.353494   0.188995 0.00732177, 0.586845 -0.216897  0.119008, -0.325488   0.192485 0.00847554,-0.0772934  -0.113728   0.152221,0 0 0,0 0 0,0 0 0,0 0 0
0.44, 0.174409 0.0502774  0.527064,  -5.18974    2.26793 -0.0902777, 0.363478  0.188251 0.0125344, 0.601062 -0.218446  0.113528, -0.31475  0.194324 0.0145096,-0.0621627  -0.109335   0.145212,0 0 0,0 0 0,0 0 0,0 0 0
0.45,  0.18716 0.0470216  0.532867,  -4.3896   1.95511 -0.782363, 0.375887  0.187326 0.0188317, 0.615211 -0.219987  0.106908,-0.301405  0.196609 0.0217992,-0.0471048  -0.104963   0.136744,0 0 0,0 0 0,0 0 0,0 0 0
0.46,  0.19991 0.0437659   0.53769,  -3.586  1.64647 -1.47636,0.390529 0.186235 0.026033, 0.629189  -0.22151 0.0993369,-0.285658  0.199305 0.0301353,-0.0322284  -0.100644    0.12706,0 0 0,0 0 0,0 0 0,0 0 0
0.47, 0.212661 0.0405102  0.541532,-2.77898  1.34208  -2.1723, 0.407213  0.184993 0.0339574, 0.642894 -0.223004  0.091006,-0.267715  0.202377 0.0393084,-0.0176427 -0.0964095   0.116404,0 0 0,0 0 0,0 0 0,0 0 0
0.48, 0.225412 0.0372544  0.544393,-1.96856  1.04199 -2.87019, 0.425747  0.183612 0.0424241, 0.656224 -0.224456  0.082105,-0.247783   0.20579 0.0491093,-0.00345655  -0.0922908    0.105019,0 0 0,0 0 0,0 0 0,0 0 0
