time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.31,0.0505061 0.0803497  0.447063,-15.6451  1.47973  3.04622,0.34 0.19    0, 0.416511 -0.173769  0.112282,-0.34  0.19     0,-0.265555 -0.172159  0.117734, 52.6574 -11.7529  241.037,0 0 0, 107.663 -34.4828  360.313,0 0 0
0.32,0.0574621 0.0799973  0.455419,-15.7552  1.42794   3.0893,0.34 0.19    0, 0.428719 -0.171179  0.126592,-0.34  0.19     0,-0.253676 -0.169313  0.132738, 46.4374 -7.60954  216.547,0 0 0,  93.85 -26.032 319.069,0 0 0
0.33,0.0648972 0.0794778  0.464551,-15.6536  1.36304  3.11775,0.34 0.19    0, 0.441382 -0.168493  0.140316,-0.34  0.19     0,-0.241355  -0.16636  0.147129, 39.2528 -4.54235  185.775,0 0 0, 78.5781 -19.0016  270.608,0 0 0
0.34,0.0727515 0.0788121  0.474239,-15.3666  1.28668  3.13331,0.34 0.19    0, 0.454401 -0.165731  0.153161,-0.34  0.19     0,-0.228688 -0.163324  0.160597, 31.5565 -2.39411  151.168,0 0 0, 62.6711 -13.2777  218.151,0 0 0
0.35,0.0809651 0.0780212  0.484265,-14.9208  1.20054  3.13769,0.34 0.19    0,  0.46768 -0.162914  0.164833,-0.34  0.19     0,-0.215767 -0.160228  0.172836, 23.8016 -1.00762  115.173,0 0 0, 46.9523 -8.74656  164.923,0 0 0
0.36,0.0894781 0.0771258  0.494409,-14.3426  1.10628  3.13263,0.34 0.19    0, 0.481121 -0.160063  0.175041,-0.34  0.19     0,-0.202689 -0.157094  0.183539,  16.4409 -0.225711    80.235,0 0 0, 32.2451 -5.29439  114.145,0 0 0
0.37,0.0982307  0.076147   0.50445,-13.6585  1.00555  3.11985,0.34 0.19    0, 0.494627 -0.157197   0.18349,-0.34  0.19     0,-0.189548 -0.153945  0.192399,9.92745 0.10882 48.8022,0 0 0, 19.3729 -2.80743  69.0408,0 0 0
0.38, 0.107163 0.0751055  0.514169,-12.8949 0.900032  3.10107,0.34 0.19    0,   0.5081 -0.154339  0.189888,-0.34  0.19     0,-0.176439 -0.150803  0.199107, 4.71417 0.153156   23.321,0 0 0,9.15911 -1.1719 32.8334,0 0 0
0.39, 0.116215 0.0740222  0.523347,-12.0784 0.791379  3.07803,0.34 0.19    0, 0.521444 -0.151508  0.193942,-0.34  0.19     0,-0.163456 -0.147692  0.203358,  1.25404 0.0644871   6.23804,0 0 0,  2.42701 -0.274011   8.74549,0 0 0
0.4,0.125327 0.072918 0.531764,-11.2355 0.681257  3.05245,0.34 0.19    0,  0.53456 -0.148726  0.195358,-0.34  0.19     0,-0.150693 -0.144633  0.204843,-5.68434e-14 -2.84217e-14 -3.41061e-13,0 0 0,-5.68434e-14            0            0,0 0 0
0.41, 0.134449 0.0718104  0.539237, -10.388 0.571053  3.02577,  0.341176   0.190337 0.00106604, 0.547677 -0.145943  0.193942,  -0.338827    0.190251 0.000952777,-0.137931 -0.141575  0.203358,0 0 0,0 0 0,0 0 0,0 0 0
0.42,  0.14357 0.0707028   0.54573,-9.54057 0.461049  2.99827,  0.344607   0.191321 0.00411713,  0.56102 -0.143113  0.189888, -0.335405   0.190984 0.00367969,-0.124947 -0.138463  0.199107,0 0 0,0 0 0,0 0 0,0 0 0
0.43, 0.152692 0.0695952  0.551241,-8.69308 0.351252  2.96996, 0.350149   0.19291 0.0089327, 0.574494 -0.140254   0.18349, -0.329876   0.192167 0.00798362,-0.111838 -0.135322  0.192399,0 0 0,0 0 0,0 0 0,0 0 0
0.44, 0.161814 0.0684875  0.555772,-7.84556  0.24167  2.94084, 0.357659  0.195064 0.0152922, 0.587999 -0.137389  0.175041,-0.322385  0.193771 0.0136674,-0.0986968  -0.132172   0.183539,0 0 0,0 0 0,0 0 0,0 0 0
0.45, 0.170936 0.0673799  0.559323,  -6.998 0.132307  2.91092, 0.366993   0.19774 0.0229751,  0.60144 -0.134538  0.164833,-0.313074  0.195764  0.020534,-0.0856188  -0.129038   0.172836,0 0 0,0 0 0,0 0 0,0 0 0
0.46, 0.180058 0.0662723  0.561892,  -6.1504 0.0231719   2.88018, 0.378006  0.200898 0.0317607, 0.614719 -0.131721  0.153161,-0.302088  0.198116 0.0283862,-0.0726986  -0.125942   0.160597,0 0 0,0 0 0,0 0 0,0 0 0
0.47, 0.189179 0.0651647  0.563481,  -5.30276 -0.0857301    2.84865, 0.390554  0.204496 0.0414286, 0.627738 -0.128959  0.140316,-0.289571  0.200795 0.0370269,-0.0600309  -0.122906   0.147129,0 0 0,0 0 0,0 0 0,0 0 0
0.48, 0.198301 0.0640571   0.56409, -4.45508 -0.194392   2.81631, 0.404495  0.208493 0.0517582, 0.640401 -0.126273  0.126592,-0.275665  0.203772  0.046259,-0.0477101  -0.119954   0.132738,0 0 0,0 0 0,0 0 0,0 0 0
0.49, 0.207423 0.0629494  0.563717, -3.60735 -0.302807   2.78316, 0.419682  0.212848 0.0625289,  0.65261 -0.123683  0.112282,-0.260515  0.207016 0.0558853,-0.0358311  -0.117107   0.117734,0 0 0,0 0 0,0 0 0,0 0 0
0.5, 0.216545 0.0618418  0.562364,-2.75957 -0.41097  2.74922, 0.435974  0.217519 0.0735202, 0.664267  -0.12121 0.0976789,-0.244264  0.210494 0.0657088,-0.0244885  -0.114389   0.102422,0 0 0,0 0 0,0 0 0,0 0 0
0.51, 0.225667 0.0607342  0.560031, -1.91174 -0.518872   2.71448, 0.453225  0.222466 0.0845115, 0.675276 -0.118874 0.0830759,-0.227055  0.214178 0.0755322,-0.0137769  -0.111822  0.0871095,0 0 0,0 0 0,0 0 0,0 0 0
0.52, 0.234789 0.0596266  0.556716, -1.06385 -0.626509   2.67894, 0.471292  0.227647 0.0952822, 0.685539 -0.116697  0.068766,-0.209033  0.218036 0.0851586,-0.00379093   -0.109429   0.0721047,0 0 0,0 0 0,0 0 0,0 0 0
0.53,  0.24391 0.0585189  0.552421,-0.215905 -0.733873    2.6426,0.490031  0.23302 0.105612, 0.694959 -0.114699 0.0550421, -0.19034  0.222038 0.0943907,0.00537468  -0.107232  0.0577145,0 0 0,0 0 0,0 0 0,0 0 0
0.54, 0.253032 0.0574113  0.547146, 0.632101 -0.840957   2.60548,0.509298 0.238544  0.11528, 0.703439   -0.1129 0.0421973,-0.171121  0.226152  0.103031,0.0136253 -0.105255 0.0442461,0 0 0,0 0 0,0 0 0,0 0 0
0.55, 0.262154 0.0563037  0.540889,  1.48017 -0.947757   2.56756,0.528949 0.244179 0.124065,  0.71088 -0.111321 0.0305247,-0.151519  0.230348  0.110884,0.0208663 -0.103519 0.0320067,0 0 0,0 0 0,0 0 0,0 0 0
0.56, 0.271276 0.0551961  0.533652,  2.3283 -1.05426  2.52886,0.548839 0.249882 0.131748, 0.717187 -0.109983 0.0203172,-0.131678  0.234596   0.11775, 0.027003 -0.102049 0.0213037,0 0 0,0 0 0,0 0 0,0 0 0
0.57, 0.280398 0.0540884  0.525435,  3.1765 -1.16047  2.48937,0.568826 0.255613 0.138108, 0.722262 -0.108907  0.011868,-0.111741  0.238864  0.123434,0.0319407 -0.100866 0.0124442,0 0 0,0 0 0,0 0 0,0 0 0
0.58,  0.28952 0.0529808  0.516236, 4.02477 -1.26638  2.44909,0.588765  0.26133 0.142923,  0.726008  -0.108112 0.00547002,-0.0918513   0.243122   0.127738, 0.0355849 -0.0999922  0.0057356,0 0 0,0 0 0,0 0 0,0 0 0
